work_order_id,vehicle_id,service_date,service_type,parts_replaced,labour_hours,cost_inr,downtime_hours,failure_reported,technician_id
WO-001036,VEH-0379,2024-08-08 00:00:00,Brake Pad Replacement,Propeller x2,5.2,16746.55,77.4,Y,TEC-066
WO-001037,VEH-0379,16-01-2025,Engine Service,"Brake Pads, Fluid",12.9,12313.83,65.6,no,TEC-066
WO-001038,VEH-0087,20/05/2025 00:00,Battery Pack Swap,Landing Skid,5.2,41813.49,11.6,Y,TEC-155
WO-001039,VEH-0087,2024-02-17 00:00:00,Firmware Update,NA,7.3,INR 27197.12,31.8,,TEC-174
WO-001040,VEH-0607,21-02-2025,Landing Gear Fix,NA,1.8,"32,026.16",29.4,yes,TEC-215
WO-001041,VEH-0607,10-10-2024,Motor Overhaul,Landing Skid,4.2,INR 1719.31,84.9,N,TEC-018
WO-001042,VEH-0607,18-04-2025,Firmware Update,Landing Skid,12.3,15876.94,14.9,yes,TEC-071
WO-001043,VEH-0607,2025-05-26 00:00:00,Battery Pack Swap,"Motor, ESC",14.0,INR 24894.76,68.6,N,TEC-011
WO-001044,VEH-0607,13/07/2024 00:00,Motor Overhaul,,11.8,7802.85,55.5,Y,TEC-120
WO-001045,VEH-0110,2024-07-04 00:00:00,Battery Pack Swap,Battery Pack,11.7,INR 18007.25,43.8,Y,TEC-182
WO-001046,VEH-0110,07/04/2025 00:00,Brake Pad Replacement,"Brake Pads, Fluid",,23438.72,32.8,N,TEC-129
WO-001047,VEH-0110,19/11/2024 00:00,Frame Repair,Battery Pack,5.5,"42,233.27",12.0,,TEC-052
WO-001048,VEH-0110,25-12-2024,Frame Repair,Battery Pack,7.5,INR 625.78,14.1,Y,TEC-191
WO-001049,VEH-0110,23/08/2024 00:00,Routine Inspection,Propeller x2,5.8,"6,082.39",84.9,yes,TEC-013
WO-001050,VEH-0533,29-04-2024,Brake Pad Replacement,,13.2,INR 47683.09,61.4,N,TEC-211
WO-001051,VEH-0314,15-03-2025,Routine Inspection,Landing Skid,6.4,"37,821.69",93.7,Y,TEC-030
WO-001052,VEH-0314,2024-11-25 00:00:00,Battery Pack Swap,NA,6.3,"2,542.39",16.3,Y,TEC-093
WO-001053,VEH-0314,16/06/2025 00:00,Routine Inspection,Propeller x2,8.8,INR 46071.44,65.1,yes,TEC-025
WO-001054,VEH-0314,2024-06-04 00:00:00,Firmware Update,Battery Pack,11.8,47454.08,91.9,N,TEC-215
WO-001055,VEH-0314,16/05/2025 00:00,Frame Repair,Battery Pack,10.1,3016.93,57.9,yes,TEC-106
WO-001056,VEH-0314,21-06-2025,Motor Overhaul,Propeller x2,12.1,6857.33,79.3,yes,TEC-056
WO-001057,VEH-0029,01-11-2024,Frame Repair,Landing Skid,4.1,"18,188.89",49.1,yes,TEC-135
WO-001058,VEH-0029,18-04-2024,Tyre Change,Landing Skid,1.6,INR 14840.40,52.3,no,TEC-196
WO-001059,VEH-0029,05/10/2024 00:00,Frame Repair,Battery Pack,1.1,INR 7469.70,38.9,,TEC-087
WO-001060,VEH-0029,19-07-2024,Engine Service,Battery Pack,6.9,INR 42984.54,87.9,,TEC-208
WO-001061,VEH-0029,09-12-2024,Frame Repair,Landing Skid,0.9,INR 9307.62,27.0,N,TEC-075
WO-001062,VEH-0144,2024-03-04 00:00:00,Brake Pad Replacement,Propeller x2,8.7,"20,300.88",70.9,no,TEC-162
WO-001063,VEH-0313,2025-04-25 00:00:00,Engine Service,Landing Skid,6.7,44023.68,7.0,yes,TEC-008
WO-001064,VEH-0313,07/11/2024 00:00,Battery Pack Swap,Landing Skid,,11070.67,13.6,Y,TEC-122
WO-001065,VEH-0313,23/03/2025 00:00,Battery Pack Swap,Landing Skid,8.2,INR 2030.46,66.3,no,TEC-014
WO-001066,VEH-0313,2024-10-01 00:00:00,Tyre Change,Landing Skid,12.0,INR 34052.91,95.5,N,TEC-151
WO-001067,VEH-0313,2024-01-13 00:00:00,Motor Overhaul,"Motor, ESC",3.7,40199.63,41.0,yes,TEC-131
WO-001068,VEH-0269,2024-05-03 00:00:00,Propeller Replacement,"Brake Pads, Fluid",0.7,INR 12018.42,75.7,,TEC-211
WO-001069,VEH-0269,13-09-2024,Brake Pad Replacement,Landing Skid,5.6,INR 6302.87,93.0,Y,TEC-202
WO-001070,VEH-0269,30/07/2024 00:00,Engine Service,NA,11.8,"38,027.70",38.7,N,TEC-025
WO-001071,VEH-0269,2025-02-26 00:00:00,Brake Pad Replacement,NA,12.8,3172.05,9.0,N,TEC-029
WO-001072,VEH-0269,06/01/2024 00:00,Motor Overhaul,,5.2,"2,427.94",18.6,,TEC-152
WO-001073,VEH-0213,30/06/2024 00:00,Battery Pack Swap,"Motor, ESC",7.9,6866.85,37.5,Y,TEC-154
WO-001074,VEH-0673,13/05/2024 00:00,Routine Inspection,"Motor, ESC",13.2,25106.15,70.4,N,TEC-116
WO-001075,VEH-0673,2024-05-21 00:00:00,Routine Inspection,NA,5.6,INR 30659.36,63.3,Y,TEC-136
WO-001076,VEH-0673,2024-01-14 00:00:00,Battery Pack Swap,,0.5,INR 9687.88,69.6,N,TEC-165
WO-001077,VEH-0673,26-04-2025,Propeller Replacement,NA,N/A,INR 3124.09,63.0,N,TEC-121
WO-001078,VEH-0705,09/01/2024 00:00,Engine Service,Landing Skid,12.7,27056.39,63.4,yes,TEC-090
WO-001079,VEH-0705,20/12/2024 00:00,Firmware Update,Propeller x2,10.9,INR 24339.86,90.6,no,TEC-169
WO-001080,VEH-0705,07-08-2024,Propeller Replacement,"Motor, ESC",1.0,INR 11323.44,69.0,,TEC-214
WO-001081,VEH-0705,01-03-2024,Propeller Replacement,Propeller x2,6.1,"20,218.93",36.3,yes,TEC-068
WO-001082,VEH-0705,08/09/2024 00:00,Propeller Replacement,Propeller x2,9.5,INR 24888.34,26.2,,TEC-207
WO-001083,VEH-0705,17-10-2024,Firmware Update,Landing Skid,8.1,"6,010.67",79.7,N,TEC-209
WO-001084,VEH-0679,19-09-2024,Motor Overhaul,"Brake Pads, Fluid",5.4,933.11,16.9,no,TEC-121
WO-001085,VEH-0679,2025-03-05 00:00:00,Battery Pack Swap,"Motor, ESC",4.7,"31,873.46",83.5,no,TEC-070
WO-001086,VEH-0679,12-05-2025,Firmware Update,Propeller x2,3.5,INR 43674.11,22.6,Y,TEC-081
WO-001087,VEH-0679,29/08/2024 00:00,Tyre Change,Battery Pack,1.0,31759.1,84.1,N,TEC-010
WO-001088,VEH-0679,08-12-2024,Frame Repair,,9.4,INR 31629.85,94.9,yes,TEC-129
WO-001089,VEH-0679,16/02/2025 00:00,Firmware Update,"Motor, ESC",N/A,INR 20142.27,84.9,Y,TEC-045
WO-001090,VEH-0183,2024-10-13 00:00:00,Routine Inspection,,12.1,47188.02,72.0,N,TEC-052
WO-001091,VEH-0183,19/09/2024 00:00,Brake Pad Replacement,Landing Skid,3.7,INR 10146.22,85.0,no,TEC-131
WO-001092,VEH-0183,2025-03-17 00:00:00,Frame Repair,"Brake Pads, Fluid",11.4,20646.96,82.6,no,TEC-057
WO-001093,VEH-0183,2024-05-02 00:00:00,Routine Inspection,,4.5,"20,358.33",4.9,yes,TEC-156
WO-001094,VEH-0183,12-02-2025,Battery Pack Swap,Propeller x2,11.9,14704.48,2.5,N,TEC-166
WO-001095,VEH-0183,2024-02-01 00:00:00,Landing Gear Fix,Battery Pack,7.3,"21,061.30",57.8,Y,TEC-186
WO-001096,VEH-0471,12/06/2025 00:00,Motor Overhaul,"Brake Pads, Fluid",11.2,INR 12852.89,56.2,Y,TEC-191
WO-001097,VEH-0471,19/11/2024 00:00,Engine Service,Landing Skid,8.1,INR 37702.16,62.4,,TEC-108
WO-001098,VEH-0471,28/02/2025 00:00,Frame Repair,NA,2.1,"5,290.66",83.5,no,TEC-013
WO-001099,VEH-0471,2025-04-21 00:00:00,Motor Overhaul,,6.7,INR 15176.85,71.6,Y,TEC-181
WO-001100,VEH-0471,09-08-2024,Frame Repair,Landing Skid,7.9,35527.03,59.5,no,TEC-103
WO-001101,VEH-0181,31-03-2024,Brake Pad Replacement,Propeller x2,11.4,"31,616.72",83.2,Y,TEC-203
WO-001102,VEH-0472,2024-09-22 00:00:00,Tyre Change,"Motor, ESC",8.9,INR 11405.23,76.4,no,TEC-081
WO-001103,VEH-0472,03/03/2025 00:00,Propeller Replacement,"Brake Pads, Fluid",2.0,"2,235.08",25.6,,TEC-186
WO-001104,VEH-0472,22/10/2024 00:00,Brake Pad Replacement,"Brake Pads, Fluid",11.2,11266.69,94.6,yes,TEC-059
WO-001105,VEH-0472,03-03-2025,Propeller Replacement,"Brake Pads, Fluid",1.8,43844.16,69.0,,TEC-196
WO-001106,VEH-0472,13/05/2024 00:00,Landing Gear Fix,"Brake Pads, Fluid",  ,INR 989.48,88.6,no,TEC-176
WO-001107,VEH-0472,2024-02-13 00:00:00,Tyre Change,"Brake Pads, Fluid",2.7,33166.19,11.5,yes,TEC-220
WO-001108,VEH-0021,26-10-2024,Routine Inspection,Propeller x2,12.5,11460.63,28.7,Y,TEC-163
WO-001109,VEH-0021,29/10/2024 00:00,Brake Pad Replacement,Landing Skid,3.1,INR 43516.19,67.6,yes,TEC-203
WO-001110,VEH-0021,2024-02-18 00:00:00,Routine Inspection,Landing Skid,NA,"19,276.53",83.6,Y,TEC-177
WO-001111,VEH-0288,08-01-2024,Brake Pad Replacement,Propeller x2,2.2,3479.43,62.5,N,TEC-153
WO-001112,VEH-0288,19-01-2025,Propeller Replacement,Battery Pack,13.2,"14,886.78",58.5,,TEC-031
WO-001113,VEH-0088,2024-02-17 00:00:00,Tyre Change,Battery Pack,12.2,31853.05,55.1,Y,TEC-200
WO-001114,VEH-0088,2024-09-27 00:00:00,Engine Service,Battery Pack,11.0,"5,455.89",65.7,,TEC-201
WO-001115,VEH-0088,2024-12-11 00:00:00,Brake Pad Replacement,NA,6.5,24085.04,5.8,yes,TEC-054
WO-001116,VEH-0088,02-07-2024,Engine Service,"Motor, ESC",6.4,11763.71,7.3,,TEC-150
WO-001117,VEH-0088,11/05/2024 00:00,Frame Repair,Propeller x2,4.5,"29,985.56",58.0,,TEC-154
WO-001118,VEH-0088,2025-02-17 00:00:00,Landing Gear Fix,"Brake Pads, Fluid",0.5,INR 29471.72,9.7,no,TEC-051
WO-001119,VEH-0282,29-04-2024,Battery Pack Swap,Battery Pack,13.1,"24,417.53",33.4,no,TEC-209
WO-001120,VEH-0282,14-09-2024,Brake Pad Replacement,Battery Pack,13.3,46420.24,38.2,yes,TEC-211
WO-001121,VEH-0282,23-10-2024,Propeller Replacement,NA,6.6,INR 29749.39,58.5,no,TEC-016
WO-001122,VEH-0282,17/01/2024 00:00,Routine Inspection,,7.7,"20,302.37",26.5,yes,TEC-109
WO-001123,VEH-0282,11-07-2024,Tyre Change,Landing Skid,3.9,45863.06,12.7,,TEC-114
WO-001124,VEH-0446,16/01/2025 00:00,Routine Inspection,Propeller x2,N/A,INR 10994.32,1.2,,TEC-067
WO-001125,VEH-0446,2024-01-29 00:00:00,Frame Repair,"Brake Pads, Fluid",12.1,25283.85,68.7,no,TEC-146
WO-001126,VEH-0541,27/01/2024 00:00,Battery Pack Swap,NA,6.8,4951.43,62.8,yes,TEC-154
WO-001127,VEH-0541,18-09-2024,Motor Overhaul,NA,1.4,"43,976.34",91.9,N,TEC-045
WO-001128,VEH-0486,06/02/2024 00:00,Landing Gear Fix,"Brake Pads, Fluid",5.2,INR 26252.73,85.8,yes,TEC-052
WO-001129,VEH-0486,29-06-2024,Firmware Update,Battery Pack,3.4,31971.95,88.5,Y,TEC-114
WO-001130,VEH-0486,06/01/2025 00:00,Frame Repair,Battery Pack,12.0,"26,190.22",46.6,,TEC-170
WO-001131,VEH-0407,19/02/2024 00:00,Tyre Change,NA,4.4,"4,064.70",9.0,no,TEC-044
WO-001132,VEH-0407,05/03/2024 00:00,Brake Pad Replacement,"Motor, ESC",3.7,INR 21839.68,14.8,Y,TEC-014
WO-001133,VEH-0571,08/11/2024 00:00,Propeller Replacement,"Brake Pads, Fluid",11.8,28499.87,25.3,no,TEC-054
WO-001134,VEH-0571,2024-01-26 00:00:00,Brake Pad Replacement,,7.7,"14,643.74",33.0,yes,TEC-163
WO-001135,VEH-0571,07-02-2024,Propeller Replacement,NA,5.8,INR 47074.37,90.3,,TEC-166
WO-001136,VEH-0571,2025-03-05 00:00:00,Landing Gear Fix,"Motor, ESC",2.3,16794.49,78.4,yes,TEC-009
WO-001137,VEH-0263,2024-06-13 00:00:00,Engine Service,"Brake Pads, Fluid",11.8,INR 46316.38,69.0,N,TEC-152
WO-001138,VEH-0263,08/12/2024 00:00,Frame Repair,Propeller x2,8.4,"32,520.51",29.5,,TEC-126
WO-001139,VEH-0263,2024-03-06 00:00:00,Landing Gear Fix,Battery Pack,8.0,31625.36,68.4,no,TEC-168
WO-001140,VEH-0263,10/05/2025 00:00,Battery Pack Swap,"Motor, ESC",1.6,31103.17,75.1,N,TEC-057
WO-001141,VEH-0263,15-11-2024,Brake Pad Replacement,NA,12.1,4362.09,2.7,yes,TEC-037
WO-001142,VEH-0370,24/09/2024 00:00,Tyre Change,"Brake Pads, Fluid",  ,"4,434.08",4.5,Y,TEC-042
WO-001143,VEH-0370,13-02-2025,Brake Pad Replacement,"Motor, ESC",3.2,INR 12692.87,87.7,yes,TEC-108
WO-001144,VEH-0370,26-04-2024,Propeller Replacement,Battery Pack,2.0,32274.9,24.0,no,TEC-114
WO-001145,VEH-0370,2024-05-13 00:00:00,Motor Overhaul,Propeller x2,9.6,43113.89,93.0,yes,TEC-218
WO-001146,VEH-0290,2025-04-17 00:00:00,Motor Overhaul,Propeller x2,1.8,INR 4515.65,28.6,yes,TEC-157
WO-001147,VEH-0290,2024-12-29 00:00:00,Landing Gear Fix,Landing Skid,10.0,"20,812.08",24.1,Y,TEC-077
WO-001148,VEH-0038,04/04/2024 00:00,Landing Gear Fix,,6.4,INR 46056.69,3.7,no,TEC-046
WO-001149,VEH-0038,03/05/2025 00:00,Frame Repair,"Motor, ESC",12.7,"10,577.04",83.8,,TEC-153
WO-001150,VEH-0038,22/07/2024 00:00,Frame Repair,Propeller x2,6.4,INR 30127.51,49.1,Y,TEC-022
WO-001151,VEH-0038,26/07/2024 00:00,Engine Service,Battery Pack,4.3,INR 11786.82,57.4,,TEC-068
WO-001152,VEH-0038,05-05-2024,Tyre Change,NA,13.1,"19,495.67",62.8,N,TEC-010
WO-001153,VEH-0378,02-01-2024,Landing Gear Fix,NA,7.4,1535.39,31.8,yes,TEC-186
WO-001154,VEH-0378,04-06-2024,Frame Repair,"Brake Pads, Fluid",10.9,INR 35752.88,40.3,yes,TEC-215
WO-001155,VEH-0378,21/12/2024 00:00,Tyre Change,"Motor, ESC",4.9,INR 29782.96,23.2,Y,TEC-013
WO-001156,VEH-0378,14/04/2024 00:00,Battery Pack Swap,NA,13.9,INR 47861.66,83.7,no,TEC-024
WO-001157,VEH-0378,2025-04-03 00:00:00,Landing Gear Fix,"Brake Pads, Fluid",13.2,31049.62,68.5,Y,TEC-020
WO-001158,VEH-0684,03-07-2024,Brake Pad Replacement,,4.5,"15,512.38",2.8,no,TEC-183
WO-001159,VEH-0684,25-02-2024,Frame Repair,NA,  ,"17,420.41",70.0,no,TEC-191
WO-001160,VEH-0684,2024-08-10 00:00:00,Tyre Change,"Motor, ESC",7.1,"32,883.12",4.9,Y,TEC-188
WO-001161,VEH-0684,31/08/2024 00:00,Routine Inspection,,3.2,"28,933.01",80.3,Y,TEC-118
WO-001162,VEH-0684,2025-03-19 00:00:00,Engine Service,Battery Pack,3.8,2659.19,30.7,Y,TEC-144
WO-001163,VEH-0366,2024-05-26 00:00:00,Propeller Replacement,Battery Pack,6.9,25495.69,79.4,,TEC-110
WO-001164,VEH-0366,21-02-2024,Firmware Update,,7.9,INR 9210.09,50.4,Y,TEC-100
WO-001165,VEH-0366,2025-06-05 00:00:00,Brake Pad Replacement,Battery Pack,9.0,INR 15651.05,1.9,N,TEC-045
WO-001166,VEH-9151,30-10-2024,Engine Service,Propeller x2,13.1,INR 3951.98,1.8,N,TEC-179
WO-001167,VEH-0366,2025-03-25 00:00:00,Landing Gear Fix,Battery Pack,2.4,INR 47049.17,82.0,no,TEC-084
WO-001168,VEH-0022,04/04/2024 00:00,Propeller Replacement,Propeller x2,3.5,37526.76,79.6,N,TEC-097
WO-001169,VEH-0022,2024-09-03 00:00:00,Brake Pad Replacement,"Brake Pads, Fluid",11.0,"35,445.62",21.3,N,TEC-158
WO-001170,VEH-0022,06-03-2024,Frame Repair,NA,4.5,19936.53,30.9,N,TEC-155
WO-001171,VEH-0022,30/05/2025 00:00,Brake Pad Replacement,Battery Pack,2.6,INR 40194.65,24.1,no,TEC-171
WO-001172,VEH-0022,18/10/2024 00:00,Tyre Change,NA,8.9,24210.23,86.8,Y,TEC-161
WO-001173,VEH-0568,10-11-2024,Propeller Replacement,"Brake Pads, Fluid",1.3,32978.67,81.6,N,TEC-079
WO-001174,VEH-0568,29/10/2024 00:00,Landing Gear Fix,Propeller x2,8.9,40093.34,33.2,yes,TEC-105
WO-001175,VEH-0568,2024-05-01 00:00:00,Brake Pad Replacement,"Brake Pads, Fluid",3.6,"38,509.67",62.9,no,TEC-033
WO-001176,VEH-0568,03-06-2024,Routine Inspection,NA,12.1,"17,826.76",3.9,Y,TEC-174
WO-001177,VEH-0568,15/11/2024 00:00,Engine Service,"Motor, ESC",10.2,23680.28,21.6,no,TEC-152
WO-001178,VEH-0582,2024-05-08 00:00:00,Frame Repair,Landing Skid,9.6,INR 2439.42,25.0,no,TEC-002
WO-001179,VEH-0582,30-06-2025,Firmware Update,NA,11.0,"34,402.28",20.5,,TEC-090
WO-001180,VEH-0582,05/06/2025 00:00,Landing Gear Fix,,N/A,INR 14853.91,95.4,no,TEC-142
WO-001181,VEH-0547,21/08/2024 00:00,Motor Overhaul,Battery Pack,12.6,21558.15,56.2,N,TEC-016
WO-001182,VEH-0547,2024-10-13 00:00:00,Firmware Update,"Brake Pads, Fluid",13.0,33540.52,13.0,yes,TEC-179
WO-001183,VEH-0547,2025-06-14 00:00:00,Battery Pack Swap,NA,6.5,INR 12754.57,18.7,no,TEC-171
WO-001184,VEH-0547,05/06/2025 00:00,Landing Gear Fix,Propeller x2,3.1,"10,280.26",2.1,Y,TEC-218
WO-001185,VEH-0547,31-01-2025,Engine Service,Landing Skid,2.0,22197.44,72.1,N,TEC-013
WO-001186,VEH-0547,07/03/2024 00:00,Engine Service,Landing Skid,1.0,INR 19174.47,2.7,Y,TEC-022
WO-001187,VEH-0665,28/03/2025 00:00,Frame Repair,"Motor, ESC",4.3,"15,623.50",51.3,Y,TEC-149
WO-001188,VEH-0606,2024-08-28 00:00:00,Landing Gear Fix,,9.2,39341.46,16.0,yes,TEC-107
WO-001189,VEH-0122,2025-05-20 00:00:00,Frame Repair,,2.7,INR 40802.02,45.5,yes,TEC-075
WO-001190,VEH-0686,23-02-2025,Motor Overhaul,NA,13.2,44611.25,32.1,no,TEC-171
WO-001191,VEH-0686,12-01-2025,Battery Pack Swap,,9.5,26681.47,85.7,no,TEC-126
WO-001192,VEH-0576,11/06/2025 00:00,Landing Gear Fix,Propeller x2,1.6,INR 38049.64,8.7,no,TEC-110
WO-001193,VEH-0576,01-02-2024,Landing Gear Fix,Battery Pack,0.8,13914.45,13.0,no,TEC-190
WO-001194,VEH-0075,16/04/2025 00:00,Brake Pad Replacement,"Motor, ESC",2.5,18054.72,19.5,yes,TEC-096
WO-001195,VEH-0075,2024-06-20 00:00:00,Firmware Update,Landing Skid,11.0,"7,093.00",34.3,Y,TEC-193
WO-001196,VEH-0075,23-12-2024,Battery Pack Swap,"Brake Pads, Fluid",11.9,INR 38112.36,42.3,,TEC-119
WO-001197,VEH-0075,07-06-2025,Landing Gear Fix,"Brake Pads, Fluid",12.2,"30,143.42",83.2,N,TEC-217
WO-001198,VEH-0075,2024-03-18 00:00:00,Battery Pack Swap,NA,8.4,INR 32285.10,52.3,N,TEC-164
WO-001199,VEH-0075,05/09/2024 00:00,Propeller Replacement,Landing Skid,12.5,INR 26550.53,17.0,no,TEC-135
WO-001200,VEH-0589,06-01-2025,Brake Pad Replacement,"Motor, ESC",3.3,"7,858.36",39.1,,TEC-048
WO-001201,VEH-0392,2024-11-05 00:00:00,Firmware Update,NA,6.1,INR 7883.00,45.5,Y,TEC-008
WO-001202,VEH-0392,16-02-2024,Propeller Replacement,NA,6.5,44139.63,66.2,yes,TEC-014
WO-001203,VEH-0392,28-08-2024,Frame Repair,,12.3,INR 12359.62,41.0,Y,TEC-184
WO-001204,VEH-0392,01-10-2024,Landing Gear Fix,Propeller x2,2.0,INR 15161.34,3.1,yes,TEC-113
WO-001205,VEH-0392,2025-05-16 00:00:00,Brake Pad Replacement,NA,11.3,3303.05,55.8,N,TEC-181
WO-001206,VEH-0392,11-01-2025,Routine Inspection,Battery Pack,3.4,21466.4,52.6,,TEC-213
WO-001207,VEH-0698,18-05-2025,Firmware Update,NA,10.8,"32,490.82",4.0,yes,TEC-024
WO-001208,VEH-0698,16/02/2025 00:00,Propeller Replacement,"Brake Pads, Fluid",0.6,38135.68,15.9,N,TEC-036
WO-001209,VEH-0354,29-07-2024,Landing Gear Fix,Propeller x2,5.8,INR 46399.23,86.3,Y,TEC-031
WO-001210,VEH-0354,14/03/2025 00:00,Brake Pad Replacement,"Brake Pads, Fluid",4.7,INR 3253.57,54.5,Y,TEC-053
WO-001211,VEH-0354,26/04/2024 00:00,Routine Inspection,NA,11.1,INR 13789.56,1.9,Y,TEC-099
WO-001212,VEH-0080,22-06-2024,Engine Service,NA,10.3,INR 39152.30,24.9,no,TEC-085
WO-001213,VEH-0080,18/01/2024 00:00,Propeller Replacement,"Motor, ESC",6.2,5792.36,14.6,no,TEC-125
WO-001214,VEH-0080,10/02/2024 00:00,Frame Repair,NA,8.4,INR 10724.36,33.8,N,TEC-065
WO-001215,VEH-0529,26-02-2024,Propeller Replacement,Landing Skid,13.1,27864.66,8.5,no,TEC-105
WO-001216,VEH-0529,27-04-2024,Routine Inspection,Landing Skid,0.8,"46,883.23",59.2,yes,TEC-153
WO-001217,VEH-0529,19/12/2024 00:00,Frame Repair,"Motor, ESC",7.4,"38,781.14",54.6,yes,TEC-184
WO-001218,VEH-0529,2024-10-16 00:00:00,Frame Repair,NA,2.8,30906.9,82.8,N,TEC-173
WO-001219,VEH-0529,31-01-2025,Brake Pad Replacement,"Brake Pads, Fluid",1.3,INR 16909.26,28.2,no,TEC-006
WO-001220,VEH-0529,18/02/2025 00:00,Brake Pad Replacement,Battery Pack,3.6,16246.21,61.3,Y,TEC-056
WO-001221,VEH-0280,2024-11-30 00:00:00,Battery Pack Swap,"Motor, ESC",12.2,INR 25998.24,1.1,,TEC-086
WO-001222,VEH-0280,24-02-2024,Propeller Replacement,NA,2.5,40588.69,57.9,no,TEC-049
WO-001223,VEH-0280,09/01/2024 00:00,Battery Pack Swap,NA,3.4,INR 41237.06,21.5,N,TEC-080
WO-001224,VEH-0280,30/04/2025 00:00,Brake Pad Replacement,"Motor, ESC",7.1,23383.99,85.2,yes,TEC-079
WO-001225,VEH-0280,22-05-2025,Landing Gear Fix,Battery Pack,5.7,44603.91,73.7,yes,TEC-101
WO-001226,VEH-0286,16-02-2025,Propeller Replacement,,11.3,33466.14,85.1,yes,TEC-116
WO-001227,VEH-0273,15/07/2024 00:00,Routine Inspection,Battery Pack,2.1,18437.9,18.8,yes,TEC-141
WO-001228,VEH-0273,2024-07-08 00:00:00,Motor Overhaul,Landing Skid,6.9,"4,049.09",25.3,yes,TEC-069
WO-001229,VEH-0273,26/09/2024 00:00,Engine Service,"Motor, ESC",4.6,"47,900.22",10.5,,TEC-158
WO-001230,VEH-0273,24-06-2024,Tyre Change,Propeller x2,10.7,27042.52,27.2,,TEC-147
WO-001231,VEH-0273,2025-06-17 00:00:00,Landing Gear Fix,"Brake Pads, Fluid",6.6,INR 21385.78,8.0,,TEC-141
WO-001232,VEH-0273,01-05-2024,Routine Inspection,Propeller x2,11.7,"11,099.76",49.3,Y,TEC-075
WO-001233,VEH-0618,26/04/2025 00:00,Battery Pack Swap,Propeller x2,1.6,INR 41059.02,43.7,no,TEC-164
WO-001234,VEH-0618,13/06/2025 00:00,Frame Repair,"Brake Pads, Fluid",11.3,24568.67,23.2,yes,TEC-176
WO-001235,VEH-0618,28/07/2024 00:00,Motor Overhaul,"Motor, ESC",10.7,"32,901.90",62.6,,TEC-131
WO-001236,VEH-0618,2024-06-24 00:00:00,Battery Pack Swap,Propeller x2,13.3,INR 19172.59,91.9,Y,TEC-011
WO-001237,VEH-0513,2024-07-20 00:00:00,Battery Pack Swap,Battery Pack,13.5,22668.82,29.2,no,TEC-202
WO-001238,VEH-0126,10/12/2024 00:00,Brake Pad Replacement,"Motor, ESC",6.5,29878.23,89.5,,TEC-104
WO-001239,VEH-0126,25-05-2024,Tyre Change,NA,8.1,"7,856.48",89.7,,TEC-166
WO-001240,VEH-0126,27/12/2024 00:00,Brake Pad Replacement,Battery Pack,10.5,34933.16,62.7,yes,TEC-118
WO-001241,VEH-0126,04/12/2024 00:00,Propeller Replacement,"Brake Pads, Fluid",3.7,10823.57,39.0,Y,TEC-064
WO-001242,VEH-0382,29/01/2025 00:00,Propeller Replacement,"Motor, ESC",8.3,46336.42,6.4,,TEC-006
WO-001243,VEH-0382,05-01-2025,Propeller Replacement,"Motor, ESC",3.6,"13,479.38",15.1,no,TEC-155
WO-001244,VEH-0382,2024-10-04 00:00:00,Battery Pack Swap,"Brake Pads, Fluid",9.9,46116.76,42.2,Y,TEC-165
WO-001245,VEH-0342,23-05-2025,Routine Inspection,NA,10.1,38641.9,35.7,yes,TEC-164
WO-001246,VEH-0342,25-02-2024,Frame Repair,"Motor, ESC",N/A,"2,077.86",54.8,N,TEC-106
WO-001247,VEH-0342,08-11-2024,Frame Repair,Propeller x2,0.5,13163.46,80.1,,TEC-005
WO-001248,VEH-0342,13/03/2025 00:00,Motor Overhaul,"Motor, ESC",3.7,"12,244.64",26.8,N,TEC-110
WO-001249,VEH-0342,11/06/2024 00:00,Firmware Update,Landing Skid,4.4,"41,955.29",13.4,yes,TEC-138
WO-001250,VEH-0342,16-02-2025,Landing Gear Fix,NA,10.1,"39,465.47",91.9,no,TEC-079
WO-001251,VEH-0153,06-01-2025,Propeller Replacement,,11.5,"38,783.43",10.0,Y,TEC-092
WO-001252,VEH-0153,14-04-2025,Engine Service,"Brake Pads, Fluid",1.2,INR 44729.26,33.9,no,TEC-135
WO-001253,VEH-0153,02/02/2025 00:00,Landing Gear Fix,"Brake Pads, Fluid",9.7,28076.76,46.0,,TEC-086
WO-001254,VEH-0153,10/01/2024 00:00,Brake Pad Replacement,"Motor, ESC",3.1,27463.37,37.6,no,TEC-209
WO-001255,VEH-0424,05-10-2024,Tyre Change,Landing Skid,4.1,INR 31613.34,12.8,,TEC-216
WO-001256,VEH-0424,08/12/2024 00:00,Frame Repair,,8.7,"14,780.32",82.2,N,TEC-118
WO-001257,VEH-0424,20/05/2025 00:00,Brake Pad Replacement,,13.9,"26,930.52",4.7,,TEC-068
WO-001258,VEH-0424,15/07/2024 00:00,Routine Inspection,Landing Skid,12.2,14561.22,82.5,no,TEC-166
WO-001259,VEH-0424,08/08/2024 00:00,Battery Pack Swap,NA,9.3,INR 40038.24,89.1,yes,TEC-160
WO-001260,VEH-0690,2024-04-11 00:00:00,Motor Overhaul,Propeller x2,5.6,"37,483.77",92.5,N,TEC-062
WO-001261,VEH-0690,2024-09-03 00:00:00,Landing Gear Fix,Propeller x2,unknown,INR 28906.29,53.6,N,TEC-202
